     |  1 1 |      |      |  4 2 |  5 1 |  6 1 |  7 1 |      |      |  5 |  0 | 14567
010206073031  |  3  |   1   |   1   |  
121317202526  |  2  |   0   |   0   |  
020406202231  |  0  |   0   |   1   |  
021118233033  |  0  |   2   |   1   |  
010515242832  |  0  |   3   |   0   |  
082024273031  |  1  |   2   |   1   |  
041820222729  |  0  |   1   |   2   |  
             本期相邻|上期相邻|上期相同 
     |  2 2 |  3 1 |      |      |  6 1 |      |      |      |  0 2 |  3 1 2| 4| 0|2360
 1 1 |  2 1 |  3 1 |      |      |  6 1 |  7 1 |  8 1 |      |      |  3 1 2| 6| 3|123678
     |  2 1 |  3 1 |      |      |  6 1 |  7 1 |  8 1 |  9 1 |      |  2 1 3| 6| 5|236789
     |      |  3 2 |      |  5 1 |  6 1 |      |      |  9 1 |  0 1 |  2 2 2| 5| 3|35690
 1 1 |      |  3 1 |  4 1 |      |  6 2 |      |      |      |  0 1 |  2 3 1| 5| 3|13460
     |  2 2 |  3 1 |      |      |      |  7 1 |  8 1 |      |  0 1 |  3 0 3| 5| 2|23780
 1 1 |      |  3 1 |  4 1 |      |  6 1 |  7 1 |      |  9 1 |      |  2 2 2| 6| 2|134679
 1 3 |      |  3 1 |      |      |      |  7 1 |      |      |  0 1 |  4 0 2| 4| 3|1370
 1 1 |  2 1 |  3 2 |      |      |      |      |  8 1 |  9 1 |      |  4 0 2| 5| 2|12389
     |      |      |  4 1 |      |      |      |  8 1 |  9 2 |  0 2 |  0 1 5| 4| 2|4890
     |      |  3 1 |  4 1 |  5 1 |  6 1 |      |  8 1 |  9 1 |      |  1 3 2| 6| 3|345689
     |      |  3 2 |      |      |  6 1 |  7 1 |      |  9 1 |  0 1 |  2 1 3| 5| 3|36790
     |      |  3 1 |  4 1 |  5 1 |  6 1 |  7 1 |      |  9 1 |      |  1 3 2| 6| 4|345679
     |  2 1 |      |  4 2 |      |  6 1 |  7 1 |      |      |  0 1 |  1 3 2| 5| 3|24670
     |      |      |  4 1 |  5 1 |      |  7 2 |      |  9 1 |  0 1 |  0 2 4| 5| 3|45790
     |      |  3 1 |  4 1 |  5 1 |      |  7 1 |      |  9 1 |  0 1 |  1 2 3| 6| 5|345790
     |  2 1 |  3 1 |  4 1 |      |  6 1 |      |  8 1 |      |  0 1 |  2 2 2| 6| 3|234680
 1 2 |  2 1 |  3 1 |      |  5 1 |      |      |  8 1 |      |      |  4 1 1| 5| 3|12358
 1 1 |  2 2 |      |      |  5 1 |      |      |  8 1 |      |  0 1 |  3 1 2| 5| 4|12580
 1 2 |      |      |      |      |  6 1 |  7 1 |  8 1 |      |  0 1 |  2 1 3| 5| 3|16780
 1 1 |  2 1 |  3 1 |  4 1 |  5 1 |      |  7 1 |      |      |      |  3 2 1| 6| 2|123457
 1 1 |  2 2 |      |      |      |  6 1 |      |  8 1 |  9 1 |      |  3 1 2| 5| 2|12689
 1 1 |  2 2 |      |      |      |      |  7 1 |      |  9 1 |  0 1 |  3 0 3| 5| 3|12790
 1 1 |  2 1 |  3 1 |      |      |  6 2 |      |      |  9 1 |      |  3 2 1| 5| 3|12369
 1 1 |      |      |      |  5 1 |  6 1 |  7 1 |  8 1 |  9 1 |      |  1 2 3| 6| 3|156789
     |  2 1 |  3 2 |      |  5 1 |      |      |      |  9 1 |  0 1 |  3 1 2| 5| 2|23590
     |      |  3 1 |  4 2 |  5 1 |  6 1 |      |      |  9 1 |      |  1 4 1| 5| 3|34569
 1 1 |  2 2 |      |      |  5 1 |      |  7 1 |      |  9 1 |      |  3 1 2| 5| 2|12579
     |  2 1 |  3 1 |  4 1 |  5 1 |  6 1 |      |      |  9 1 |      |  2 3 1| 6| 3|234569
     |      |      |      |  5 1 |  6 2 |  7 2 |      |      |  0 1 |  0 3 3| 4| 2|5670
     |      |      |  4 1 |      |  6 1 |  7 1 |  8 2 |  9 1 |      |  0 2 4| 5| 2|46789
     |  2 2 |      |      |      |  6 1 |      |  8 1 |  9 1 |  0 1 |  2 1 3| 5| 3|26890
 1 3 |      |  3 1 |  4 1 |      |  6 1 |      |      |      |      |  4 2 0| 4| 1|1346
     |  2 1 |      |  4 1 |      |  6 1 |  7 2 |      |  9 1 |      |  1 2 3| 5| 2|24679
     |  2 1 |  3 1 |  4 1 |  5 1 |      |      |  8 2 |      |      |  2 2 2| 5| 2|23458
 1 1 |      |  3 1 |      |      |      |  7 1 |      |  9 2 |  0 1 |  2 0 4| 5| 1|13790
 1 2 |  2 1 |      |  4 1 |      |      |      |      |  9 1 |  0 1 |  3 1 2| 5| 3|12490
 1 1 |  2 1 |      |  4 1 |  5 2 |      |      |  8 1 |      |      |  2 3 1| 5| 3|12458
 1 1 |      |  3 1 |      |  5 1 |      |      |  8 1 |  9 1 |  0 1 |  2 1 3| 6| 3|135890
 1 1 |  2 1 |      |      |  5 1 |  6 1 |  7 1 |      |      |  0 1 |  2 2 2| 6| 3|125670
 1 1 |      |  3 2 |  4 1 |      |      |  7 1 |      |      |  0 1 |  3 1 2| 5| 3|13470
 1 1 |  2 1 |      |      |      |      |  7 1 |  8 1 |  9 2 |      |  2 0 4| 5| 2|12789
     |      |  3 2 |  4 1 |      |      |  7 1 |  8 1 |      |  0 1 |  2 1 3| 5| 2|34780
 1 1 |      |  3 1 |  4 2 |      |      |  7 1 |      |  9 1 |      |  2 2 2| 5| 3|13479
 1 1 |      |      |      |      |  6 1 |  7 1 |      |  9 2 |  0 1 |  1 1 4| 5| 3|16790
 1 1 |  2 2 |  3 1 |      |      |      |  7 1 |      |      |  0 1 |  4 0 2| 5| 3|12370
 1 1 |  2 1 |  3 1 |      |      |  6 1 |  7 1 |      |      |  0 1 |  3 1 2| 6| 5|123670
 1 3 |  2 1 |  3 1 |      |      |      |  7 1 |      |      |      |  5 0 1| 4| 4|1237
 1 1 |      |  3 1 |      |      |  6 1 |      |      |  9 2 |  0 1 |  2 1 3| 5| 2|13690
 1 3 |      |  3 1 |      |  5 1 |      |  7 1 |      |      |      |  4 1 1| 4| 2|1357
     |      |  3 1 |  4 1 |  5 2 |  6 1 |      |      |      |  0 1 |  1 4 1| 5| 2|34560
     |      |      |      |  5 1 |  6 1 |      |      |  9 2 |  0 2 |  0 2 4| 4| 3|5690
     |      |  3 1 |  4 1 |  5 1 |  6 1 |  7 1 |  8 1 |      |      |  1 3 2| 6| 2|345678
 1 1 |  2 3 |      |  4 2 |      |      |      |      |      |      |  4 2 0| 3| 1|124
     |  2 1 |      |  4 1 |      |  6 1 |  7 1 |      |  9 2 |      |  1 2 3| 5| 2|24679
     |  2 2 |  3 1 |      |      |  6 1 |  7 1 |      |  9 1 |      |  3 1 2| 5| 4|23679
 1 1 |      |  3 2 |      |  5 1 |  6 1 |      |      |  9 1 |      |  3 2 1| 5| 3|13569
 1 1 |  2 1 |  3 1 |  4 1 |      |  6 1 |      |  8 1 |      |      |  3 2 1| 6| 3|123468
 1 1 |      |  3 1 |      |  5 2 |      |  7 1 |      |      |  0 1 |  2 2 2| 5| 2|13570
     |      |  3 2 |  4 1 |  5 1 |  6 1 |      |  8 1 |      |      |  2 3 1| 5| 2|34568
 1 1 |  2 1 |  3 1 |      |  5 1 |  6 1 |      |      |      |  0 1 |  3 2 1| 6| 3|123560
 1 1 |  2 1 |      |  4 1 |  5 1 |  6 1 |      |      |      |  0 1 |  2 3 1| 6| 5|124560
     |  2 1 |  3 1 |      |      |      |  7 2 |  8 1 |  9 1 |      |  2 0 4| 5| 1|23789
 1 2 |  2 1 |      |      |      |      |  7 3 |      |      |      |  3 0 3| 3| 2|127
     |      |      |      |      |  6 1 |      |  8 2 |  9 1 |  0 2 |  0 1 5| 4| 0|6890
 1 2 |      |      |  4 1 |  5 1 |  6 1 |      |      |      |  0 1 |  2 3 1| 5| 2|14560
     |  2 2 |      |  4 1 |      |      |      |  8 1 |  9 2 |      |  2 1 3| 4| 1|2489
     |      |  3 1 |  4 2 |      |      |  7 1 |  8 1 |      |  0 1 |  1 2 3| 5| 2|34780
     |  2 2 |  3 1 |  4 2 |  5 1 |      |      |      |      |      |  3 3 0| 4| 2|2345
 1 1 |  2 1 |      |      |      |  6 1 |  7 1 |  8 1 |      |  0 1 |  2 1 3| 6| 1|126780
 1 1 |      |      |  4 2 |  5 1 |      |      |  8 1 |  9 1 |      |  1 3 2| 5| 2|14589
 1 1 |  2 1 |      |      |      |  6 1 |      |  8 1 |  9 2 |      |  2 1 3| 5| 3|12689
     |  2 1 |  3 1 |  4 1 |  5 1 |      |  7 1 |      |      |  0 1 |  2 2 2| 6| 1|234570
     |      |  3 3 |      |      |  6 1 |  7 1 |  8 1 |      |      |  3 1 2| 4| 2|3678
     |  2 1 |  3 1 |      |      |  6 1 |  7 1 |      |  9 2 |      |  2 1 3| 5| 3|23679
 1 1 |      |  3 1 |  4 1 |      |      |  7 1 |      |  9 2 |      |  2 1 3| 5| 3|13479
 1 2 |      |  3 1 |      |      |  6 1 |  7 1 |      |      |  0 1 |  3 1 2| 5| 3|13670
     |  2 1 |  3 1 |  4 1 |  5 1 |      |  7 1 |  8 1 |      |      |  2 2 2| 6| 2|234578
 1 1 |  2 1 |      |      |  5 1 |      |  7 2 |      |  9 1 |      |  2 1 3| 5| 3|12579
     |  2 2 |  3 2 |      |  5 2 |      |      |      |      |      |  4 2 0| 3| 2|235
 1 2 |  2 1 |      |  4 1 |  5 1 |      |      |      |      |  0 1 |  3 2 1| 5| 2|12450
 1 2 |  2 1 |      |      |      |  6 1 |  7 1 |      |      |  0 1 |  3 1 2| 5| 3|12670
     |  2 1 |  3 1 |      |  5 1 |  6 1 |  7 1 |      |      |  0 1 |  2 2 2| 6| 4|235670
 1 1 |  2 2 |      |  4 1 |      |  6 1 |      |      |      |  0 1 |  3 2 1| 5| 3|12460
 1 1 |  2 1 |  3 2 |      |      |      |      |  8 1 |      |  0 1 |  4 0 2| 5| 3|12380
 1 1 |  2 1 |      |  4 1 |  5 2 |      |      |  8 1 |      |      |  2 3 1| 5| 3|12458
 1 1 |      |      |  4 1 |      |      |  7 1 |  8 1 |      |  0 2 |  1 1 4| 5| 3|14780
     |  2 1 |      |  4 1 |      |      |  7 1 |  8 1 |  9 1 |  0 1 |  1 1 4| 6| 4|247890
     |  2 1 |      |  4 2 |      |  6 1 |      |      |  9 2 |      |  1 3 2| 4| 3|2469
 1 1 |  2 1 |      |      |  5 1 |  6 2 |      |      |  9 1 |      |  2 3 1| 5| 3|12569
     |  2 1 |      |  4 1 |  5 1 |      |  7 1 |  8 1 |      |  0 1 |  1 2 3| 6| 2|245780
 1 1 |  2 1 |      |  4 1 |      |  6 1 |      |      |  9 1 |  0 1 |  2 2 2| 6| 3|124690
     |  2 1 |      |  4 2 |  5 1 |  6 1 |      |      |      |  0 1 |  1 4 1| 5| 4|24560
 1 1 |  2 1 |  3 2 |      |      |  6 1 |      |  8 1 |      |      |  4 1 1| 5| 2|12368
     |  2 1 |      |  4 1 |      |      |  7 1 |  8 2 |      |  0 1 |  1 1 4| 5| 2|24780
     |  2 1 |  3 1 |  4 1 |  5 2 |  6 1 |      |      |      |      |  2 4 0| 5| 2|23456
 1 1 |      |  3 1 |  4 1 |  5 1 |  6 1 |  7 1 |      |      |      |  2 3 1| 6| 4|134567
     |  2 2 |      |      |  5 1 |      |  7 1 |  8 1 |      |  0 1 |  2 1 3| 5| 2|25780
 1 2 |      |  3 1 |      |      |  6 1 |  7 1 |      |  9 1 |      |  3 1 2| 5| 1|13679
 1 2 |  2 1 |      |  4 1 |      |  6 1 |      |      |      |  0 1 |  3 2 1| 5| 2|12460
     |      |      |      |      |      |      |      |      |      | 
 56  |  73  |  76  |  69  |  58  |  49  |  59  |  60  |  43  |  57  | 
     |  2 2 |  3 1 |      |      |  6 1 |      |      |      |  0 2 |  3 1 2| 4| 0|2360
 1 1 |  2 1 |  3 1 |      |      |  6 1 |  7 1 |  8 1 |      |      |  3 1 2| 6| 3|123678
     |  2 1 |  3 1 |      |      |  6 1 |  7 1 |  8 1 |  9 1 |      |  2 1 3| 6| 5|236789
     |      |  3 2 |      |  5 1 |  6 1 |      |      |  9 1 |  0 1 |  2 2 2| 5| 3|35690
 1 1 |      |  3 1 |  4 1 |      |  6 2 |      |      |      |  0 1 |  2 3 1| 5| 3|13460
     |  2 2 |  3 1 |      |      |      |  7 1 |  8 1 |      |  0 1 |  3 0 3| 5| 2|23780
 1 1 |      |  3 1 |  4 1 |      |  6 1 |  7 1 |      |  9 1 |      |  2 2 2| 6| 2|134679
 1 3 |      |  3 1 |      |      |      |  7 1 |      |      |  0 1 |  4 0 2| 4| 3|1370
 1 1 |  2 1 |  3 2 |      |      |      |      |  8 1 |  9 1 |      |  4 0 2| 5| 2|12389
     |      |      |  4 1 |      |      |      |  8 1 |  9 2 |  0 2 |  0 1 5| 4| 2|4890
     |      |  3 1 |  4 1 |  5 1 |  6 1 |      |  8 1 |  9 1 |      |  1 3 2| 6| 3|345689
     |      |  3 2 |      |      |  6 1 |  7 1 |      |  9 1 |  0 1 |  2 1 3| 5| 3|36790
     |      |  3 1 |  4 1 |  5 1 |  6 1 |  7 1 |      |  9 1 |      |  1 3 2| 6| 4|345679
     |  2 1 |      |  4 2 |      |  6 1 |  7 1 |      |      |  0 1 |  1 3 2| 5| 3|24670
     |      |      |  4 1 |  5 1 |      |  7 2 |      |  9 1 |  0 1 |  0 2 4| 5| 3|45790
     |      |  3 1 |  4 1 |  5 1 |      |  7 1 |      |  9 1 |  0 1 |  1 2 3| 6| 5|345790
     |  2 1 |  3 1 |  4 1 |      |  6 1 |      |  8 1 |      |  0 1 |  2 2 2| 6| 3|234680
 1 2 |  2 1 |  3 1 |      |  5 1 |      |      |  8 1 |      |      |  4 1 1| 5| 3|12358
 1 1 |  2 2 |      |      |  5 1 |      |      |  8 1 |      |  0 1 |  3 1 2| 5| 4|12580
 1 2 |      |      |      |      |  6 1 |  7 1 |  8 1 |      |  0 1 |  2 1 3| 5| 3|16780
 1 1 |  2 1 |  3 1 |  4 1 |  5 1 |      |  7 1 |      |      |      |  3 2 1| 6| 2|123457
 1 1 |  2 2 |      |      |      |  6 1 |      |  8 1 |  9 1 |      |  3 1 2| 5| 2|12689
 1 1 |  2 2 |      |      |      |      |  7 1 |      |  9 1 |  0 1 |  3 0 3| 5| 3|12790
 1 1 |  2 1 |  3 1 |      |      |  6 2 |      |      |  9 1 |      |  3 2 1| 5| 3|12369
 1 1 |      |      |      |  5 1 |  6 1 |  7 1 |  8 1 |  9 1 |      |  1 2 3| 6| 3|156789
     |  2 1 |  3 2 |      |  5 1 |      |      |      |  9 1 |  0 1 |  3 1 2| 5| 2|23590
     |      |  3 1 |  4 2 |  5 1 |  6 1 |      |      |  9 1 |      |  1 4 1| 5| 3|34569
 1 1 |  2 2 |      |      |  5 1 |      |  7 1 |      |  9 1 |      |  3 1 2| 5| 2|12579
     |  2 1 |  3 1 |  4 1 |  5 1 |  6 1 |      |      |  9 1 |      |  2 3 1| 6| 3|234569
     |      |      |      |  5 1 |  6 2 |  7 2 |      |      |  0 1 |  0 3 3| 4| 2|5670
     |      |      |  4 1 |      |  6 1 |  7 1 |  8 2 |  9 1 |      |  0 2 4| 5| 2|46789
     |  2 2 |      |      |      |  6 1 |      |  8 1 |  9 1 |  0 1 |  2 1 3| 5| 3|26890
 1 3 |      |  3 1 |  4 1 |      |  6 1 |      |      |      |      |  4 2 0| 4| 1|1346
     |  2 1 |      |  4 1 |      |  6 1 |  7 2 |      |  9 1 |      |  1 2 3| 5| 2|24679
     |  2 1 |  3 1 |  4 1 |  5 1 |      |      |  8 2 |      |      |  2 2 2| 5| 2|23458
 1 1 |      |  3 1 |      |      |      |  7 1 |      |  9 2 |  0 1 |  2 0 4| 5| 1|13790
 1 2 |  2 1 |      |  4 1 |      |      |      |      |  9 1 |  0 1 |  3 1 2| 5| 3|12490
 1 1 |  2 1 |      |  4 1 |  5 2 |      |      |  8 1 |      |      |  2 3 1| 5| 3|12458
 1 1 |      |  3 1 |      |  5 1 |      |      |  8 1 |  9 1 |  0 1 |  2 1 3| 6| 3|135890
 1 1 |  2 1 |      |      |  5 1 |  6 1 |  7 1 |      |      |  0 1 |  2 2 2| 6| 3|125670
 1 1 |      |  3 2 |  4 1 |      |      |  7 1 |      |      |  0 1 |  3 1 2| 5| 3|13470
 1 1 |  2 1 |      |      |      |      |  7 1 |  8 1 |  9 2 |      |  2 0 4| 5| 2|12789
     |      |  3 2 |  4 1 |      |      |  7 1 |  8 1 |      |  0 1 |  2 1 3| 5| 2|34780
 1 1 |      |  3 1 |  4 2 |      |      |  7 1 |      |  9 1 |      |  2 2 2| 5| 3|13479
 1 1 |      |      |      |      |  6 1 |  7 1 |      |  9 2 |  0 1 |  1 1 4| 5| 3|16790
 1 1 |  2 2 |  3 1 |      |      |      |  7 1 |      |      |  0 1 |  4 0 2| 5| 3|12370
 1 1 |  2 1 |  3 1 |      |      |  6 1 |  7 1 |      |      |  0 1 |  3 1 2| 6| 5|123670
 1 3 |  2 1 |  3 1 |      |      |      |  7 1 |      |      |      |  5 0 1| 4| 4|1237
 1 1 |      |  3 1 |      |      |  6 1 |      |      |  9 2 |  0 1 |  2 1 3| 5| 2|13690
 1 3 |      |  3 1 |      |  5 1 |      |  7 1 |      |      |      |  4 1 1| 4| 2|1357
     |      |  3 1 |  4 1 |  5 2 |  6 1 |      |      |      |  0 1 |  1 4 1| 5| 2|34560
     |      |      |      |  5 1 |  6 1 |      |      |  9 2 |  0 2 |  0 2 4| 4| 3|5690
     |      |  3 1 |  4 1 |  5 1 |  6 1 |  7 1 |  8 1 |      |      |  1 3 2| 6| 2|345678
 1 1 |  2 3 |      |  4 2 |      |      |      |      |      |      |  4 2 0| 3| 1|124
     |  2 1 |      |  4 1 |      |  6 1 |  7 1 |      |  9 2 |      |  1 2 3| 5| 2|24679
     |  2 2 |  3 1 |      |      |  6 1 |  7 1 |      |  9 1 |      |  3 1 2| 5| 4|23679
 1 1 |      |  3 2 |      |  5 1 |  6 1 |      |      |  9 1 |      |  3 2 1| 5| 3|13569
 1 1 |  2 1 |  3 1 |  4 1 |      |  6 1 |      |  8 1 |      |      |  3 2 1| 6| 3|123468
 1 1 |      |  3 1 |      |  5 2 |      |  7 1 |      |      |  0 1 |  2 2 2| 5| 2|13570
     |      |  3 2 |  4 1 |  5 1 |  6 1 |      |  8 1 |      |      |  2 3 1| 5| 2|34568
 1 1 |  2 1 |  3 1 |      |  5 1 |  6 1 |      |      |      |  0 1 |  3 2 1| 6| 3|123560
 1 1 |  2 1 |      |  4 1 |  5 1 |  6 1 |      |      |      |  0 1 |  2 3 1| 6| 5|124560
     |  2 1 |  3 1 |      |      |      |  7 2 |  8 1 |  9 1 |      |  2 0 4| 5| 1|23789
 1 2 |  2 1 |      |      |      |      |  7 3 |      |      |      |  3 0 3| 3| 2|127
     |      |      |      |      |  6 1 |      |  8 2 |  9 1 |  0 2 |  0 1 5| 4| 0|6890
 1 2 |      |      |  4 1 |  5 1 |  6 1 |      |      |      |  0 1 |  2 3 1| 5| 2|14560
     |  2 2 |      |  4 1 |      |      |      |  8 1 |  9 2 |      |  2 1 3| 4| 1|2489
     |      |  3 1 |  4 2 |      |      |  7 1 |  8 1 |      |  0 1 |  1 2 3| 5| 2|34780
     |  2 2 |  3 1 |  4 2 |  5 1 |      |      |      |      |      |  3 3 0| 4| 2|2345
 1 1 |  2 1 |      |      |      |  6 1 |  7 1 |  8 1 |      |  0 1 |  2 1 3| 6| 1|126780
 1 1 |      |      |  4 2 |  5 1 |      |      |  8 1 |  9 1 |      |  1 3 2| 5| 2|14589
 1 1 |  2 1 |      |      |      |  6 1 |      |  8 1 |  9 2 |      |  2 1 3| 5| 3|12689
     |  2 1 |  3 1 |  4 1 |  5 1 |      |  7 1 |      |      |  0 1 |  2 2 2| 6| 1|234570
     |      |  3 3 |      |      |  6 1 |  7 1 |  8 1 |      |      |  3 1 2| 4| 2|3678
     |  2 1 |  3 1 |      |      |  6 1 |  7 1 |      |  9 2 |      |  2 1 3| 5| 3|23679
 1 1 |      |  3 1 |  4 1 |      |      |  7 1 |      |  9 2 |      |  2 1 3| 5| 3|13479
 1 2 |      |  3 1 |      |      |  6 1 |  7 1 |      |      |  0 1 |  3 1 2| 5| 3|13670
     |  2 1 |  3 1 |  4 1 |  5 1 |      |  7 1 |  8 1 |      |      |  2 2 2| 6| 2|234578
 1 1 |  2 1 |      |      |  5 1 |      |  7 2 |      |  9 1 |      |  2 1 3| 5| 3|12579
     |  2 2 |  3 2 |      |  5 2 |      |      |      |      |      |  4 2 0| 3| 2|235
 1 2 |  2 1 |      |  4 1 |  5 1 |      |      |      |      |  0 1 |  3 2 1| 5| 2|12450
 1 2 |  2 1 |      |      |      |  6 1 |  7 1 |      |      |  0 1 |  3 1 2| 5| 3|12670
     |  2 1 |  3 1 |      |  5 1 |  6 1 |  7 1 |      |      |  0 1 |  2 2 2| 6| 4|235670
 1 1 |  2 2 |      |  4 1 |      |  6 1 |      |      |      |  0 1 |  3 2 1| 5| 3|12460
 1 1 |  2 1 |  3 2 |      |      |      |      |  8 1 |      |  0 1 |  4 0 2| 5| 3|12380
 1 1 |  2 1 |      |  4 1 |  5 2 |      |      |  8 1 |      |      |  2 3 1| 5| 3|12458
 1 1 |      |      |  4 1 |      |      |  7 1 |  8 1 |      |  0 2 |  1 1 4| 5| 3|14780
     |  2 1 |      |  4 1 |      |      |  7 1 |  8 1 |  9 1 |  0 1 |  1 1 4| 6| 4|247890
     |  2 1 |      |  4 2 |      |  6 1 |      |      |  9 2 |      |  1 3 2| 4| 3|2469
 1 1 |  2 1 |      |      |  5 1 |  6 2 |      |      |  9 1 |      |  2 3 1| 5| 3|12569
     |  2 1 |      |  4 1 |  5 1 |      |  7 1 |  8 1 |      |  0 1 |  1 2 3| 6| 2|245780
 1 1 |  2 1 |      |  4 1 |      |  6 1 |      |      |  9 1 |  0 1 |  2 2 2| 6| 3|124690
     |  2 1 |      |  4 2 |  5 1 |  6 1 |      |      |      |  0 1 |  1 4 1| 5| 4|24560
 1 1 |  2 1 |  3 2 |      |      |  6 1 |      |  8 1 |      |      |  4 1 1| 5| 2|12368
     |  2 1 |      |  4 1 |      |      |  7 1 |  8 2 |      |  0 1 |  1 1 4| 5| 2|24780
     |  2 1 |  3 1 |  4 1 |  5 2 |  6 1 |      |      |      |      |  2 4 0| 5| 2|23456
 1 1 |      |  3 1 |  4 1 |  5 1 |  6 1 |  7 1 |      |      |      |  2 3 1| 6| 4|134567
     |  2 2 |      |      |  5 1 |      |  7 1 |  8 1 |      |  0 1 |  2 1 3| 5| 2|25780
 1 2 |      |  3 1 |      |      |  6 1 |  7 1 |      |  9 1 |      |  3 1 2| 5| 1|13679
 1 2 |  2 1 |      |  4 1 |      |  6 1 |      |      |      |  0 1 |  3 2 1| 5| 2|12460
     |      |      |      |      |      |      |      |      |      | 
 56  |  73  |  76  |  69  |  58  |  49  |  59  |  60  |  43  |  57  | 
231-  0  231-  6  420-  7  321-  1  330-  1  321-  5  330-  5  312- 12  231-  8  
240- 16  420-  4  321-  1  330-  5  321-  0  321- 16  420- 12  411- 41  231-  6  
330-  0  330-  1  312- 73  330-  0  330-  2  141-  3  231- 16  330-  3  240-  3  
141- 17  420- 10  330-  2  240-  2  321-  4  330-  1  240-  1  330-  2  240- 10  
321- 14  330-  0  330-  1  420- 10  330-  2  231- 23  150- 24  330-  0  330- 15  
141-  1  240- 12  141- 20  132- 12  222-  6  420-  3  321- 17  501- 251  510- 10  
420-  0  420-  1  222- 29  420-  4  411- 14  240- 12  330-  5  132- 21  420-  0  
420- 20  510- 39  231-  4  330-  9  150- 42  141- 30  321-  1  231-  3  321- 10  
240- 17  411-  1  231-  2  411- 16  330-  1  231-  7  330-  0  330-  1  060- 59  
330- 14  321-  5  132- 47  420-  4  231-  1  222- 20  231-  9  321-  4  420-  1  
240-  4  420- 20  411-  5  321- 11  312- 32  240-  4  330- 11  231-  8  411-  2  
          
330- 04 01 05 05 00 01 00 02 03 02 01 02 00 01 02 00 15 05 09 01 00 01 14 11 04 03 00 09 00 06 18 09 01 00 00 14 00 06 01 14 01 00 00 05 00 04 03 05 02 00 04 02 02 01 07 10 00 03 02 03 05 07 02 01 02 05 07 04 00 03 01 01 03 02 06 01 06 
240- 09 16 03 02 01 10 12 12 17 04 04 01 00 12 02 18 18 01 21 09 04 07 21 05 01 08 04 09 00 01 02 00 02 00 03 12 05 06 08 30 01 03 
420- 02 07 04 12 10 10 03 00 01 04 00 20 04 01 20 01 05 00 08 03 00 01 01 04 00 00 07 15 03 04 13 07 00 13 29 02 04 20 04 00 00 10 07 13 11 06 11 03 01 02 
321- 03 01 05 01 00 16 04 14 17 01 10 05 04 11 16 00 17 01 03 16 18 02 03 08 05 01 20 02 01 03 15 01 01 04 32 07 09 12 03 20 
231- 00 00 06 08 06 16 23 04 03 02 07 01 09 08 02 16 23 01 00 04 01 02 07 00 00 03 11 10 05 01 12 02 02 23 36 02 04 17 01 00 
141- 23 03 17 01 20 30 33 28 51 00 01 23 03 10 17 02 09 21 10 00 06 07 16 03 
411- 16 41 14 01 16 05 02 64 11 44 06 39 07 33 19 11 03 
510- 53 10 39 06 44 38 01 05 32 03 01 42 20 15 12 07 10 
150- 42 24 42 13 00 16 08 09 18 06 22 07 03 40 43 02 12 
222- 49 06 29 20 07 151 22 03 43 
312- 07 12 73 32 60 77 17 13 19 
132- 48 12 21 47 17 192 
 .177344475394615 .162952646239554 .132311977715877 9.37790157845868E-02 .303156917363046 .130454967502321
